xpath,2009v1.0,2009v1.1,2009v1.2,2009v1.3,2009v1.4,2009v1.7,2010v3.2,2010v3.4,2010v3.6,2010v3.7,2011v1.2,2011v1.3,2011v1.4,2011v1.5,2012v2.0,2012v2.1,2012v2.2,2012v2.3,2012v3.0,2013v3.0,2013v3.1,2013v4.0,2014v5.0,2014v6.0,2015v2.0,2015v2.1
/RETURN/RETURNDATA/IRS990EZ/THEBOOKSAREINCAREOF/ADDRESSUS/STATE,X 12,X 93,X 2328,X 3413,X 1587,X 8234,X 43746,X 28940,X 486,X 2963,X 155142,X 1657,,X 22533,X 123362,X 133722,X 19571,X 28657,X 2213,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/THEBOOKSAREINCAREOF/ADDRESSUS/ZIPCODE,X 12,X 93,X 2328,X 3413,X 1587,X 8234,X 43746,X 28940,X 486,X 2963,X 155142,X 1657,,X 22533,X 123362,X 133722,X 19571,X 28657,X 2213,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/THEBOOKSAREINCAREOF/NAMEBUSINESS/BUSINESSNAMELINE1,,,X 142,X 529,X 1009,X 3469,X 7444,X 12403,X 86,X 366,X 38741,X 175,,X 6811,X 7615,X 59489,X 2596,X 4700,X 534,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/THEBOOKSAREINCAREOF/NAMEBUSINESS/BUSINESSNAMELINE2,,,X 6,X 11,,X 40,X 201,X 171,X 8,X 83,X 1163,X 2,,X 277,X 83,X 1386,X 13,X 1025,X 10,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/THEBOOKSAREINCAREOF/NAMEPERSON,X 12,X 93,X 2187,X 2885,X 578,X 4778,X 36356,X 16578,X 404,X 2605,X 116596,X 1486,,X 15737,X 115877,X 74393,X 17002,X 23990,X 1684,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/THEBOOKSAREINCAREOF/TELEPHONENUMBER,X 12,X 93,X 2329,X 3414,X 1587,X 8247,X 43800,X 28981,X 490,X 2971,X 155337,X 1661,,X 22548,X 123492,X 133882,X 19598,X 28690,X 2218,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/TOTALASSETS/BOY,X 12,X 93,X 2329,X 3414,X 1587,X 8247,X 43800,X 28981,X 490,X 2971,X 155337,X 1661,,X 22548,X 123492,X 133882,X 19598,X 28690,X 2218,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/TOTALASSETS/EOY,X 12,X 93,X 2329,X 3414,X 1587,X 8247,X 43800,X 28981,X 490,X 2971,X 155337,X 1661,,X 22548,X 123492,X 133882,X 19598,X 28690,X 2218,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/TOTALEXPENSES,X 12,X 93,X 2322,X 3376,X 1560,X 8147,X 43070,X 28550,X 484,X 2919,X 153387,X 1657,,X 22274,X 121564,X 132032,X 19267,X 28307,X 2077,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/TOTALEXPENSESAMT,,,,,,,,,,,,,,,,,,,,X 86840,X 253108,X 90095,X 506465,X 115007,X 135502,X 513969
/RETURN/RETURNDATA/IRS990EZ/TOTALPROGRAMSERVICEEXPENSES,X 8,X 77,X 2196,X 2553,X 1235,X 6712,X 32189,X 24163,X 394,X 2419,X 118731,X 1262,,X 17271,X 85879,X 109372,X 11433,X 23657,X 1703,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/TOTALPROGRAMSERVICEEXPENSESAMT,,,,,,,,,,,,,,,,,,,,X 73048,X 204908,X 77112,X 417041,X 98505,X 118640,X 416093
/RETURN/RETURNDATA/IRS990EZ/TOTALREVENUE,X 12,X 93,X 2325,X 3403,X 1560,X 8158,X 43400,X 28387,X 488,X 2868,X 153954,X 1623,,X 22362,X 123427,X 131626,X 19198,X 28239,X 2147,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/TOTALREVENUEAMT,,,,,,,,,,,,,,,,,,,,X 86452,X 254704,X 90472,X 508583,X 115355,X 138252,X 514062
/RETURN/RETURNDATA/IRS990EZ/TOTNUMBEROFOTHEMPLPAIDOVER100K,,,X 9,X 63,X 26,X 79,X 273,X 342,,,X 1600,X 23,,X 319,X 1084,X 2832,,X 302,X 56,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/TOTNUMCNTRCTPDOVER100KPROFSER,,,X 10,X 60,X 33,X 107,X 322,X 436,,X 2,X 1784,X 51,,X 353,X 962,X 3225,X 10,X 321,X 96,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/TRANSACTIONWITHCONTROLENTIND,,,,,,,,,,,,,,,,,,,,X 23356,X 250588,X 68015,X 414835,X 87341,X 138252,X 398975
/RETURN/RETURNDATA/IRS990EZ/TRANSACTIONWITHCONTROLENTITY,,,,,,,X 40404,X 24548,X 490,X 2968,X 94153,X 649,,X 9932,X 122174,X 70159,X 16712,X 28686,X 1727,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/TRNSFREXMPTNONCHRTBLRLTDORGIND,,,,,,,,,,,,,,,,,,,,X 65056,X 176236,X 66579,X 368659,X 84954,X 104120,X 370611
/RETURN/RETURNDATA/IRS990EZ/TRNSFRSEXEMPTNONCHARRELATEDORG,X 12,X 93,X 1785,X 2254,X 1136,X 6212,X 25054,X 20937,X 342,X 2195,X 110077,X 544,,X 16676,X 93398,X 88314,X 12889,X 20713,X 1689,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/TYPEOFORGANIZATIONASSOCIND,,,,,,,,,,,,,,,,,,,,X 10628,X 17952,X 8264,X 44213,X 10507,X 9345,X 47438
/RETURN/RETURNDATA/IRS990EZ/TYPEOFORGANIZATIONCORPIND,,,,,,,,,,,,,,,,,,,,X 61596,X 190448,X 67608,X 396900,X 90018,X 84866,X 435789
/RETURN/RETURNDATA/IRS990EZ/TYPEOFORGANIZATIONOTHERDESC,,,,,,,,,,,,,,,,,,,,X 4152,X 3056,X 2194,X 10740,X 2414,X 437,X 13392
/RETURN/RETURNDATA/IRS990EZ/TYPEOFORGANIZATIONOTHERIND,,,,,,,,,,,,,,,,,,,,X 5516,X 5644,X 3359,X 16289,X 3765,X 3560,X 16861
/RETURN/RETURNDATA/IRS990EZ/TYPEOFORGANIZATIONTRUSTIND,,,,,,,,,,,,,,,,,,,,X 1360,X 2236,X 917,X 5666,X 1245,X 1130,X 5944
/RETURN/RETURNDATA/IRS990EZ/WEBSITE,X 10,X 18,X 1257,X 3398,X 1559,X 8167,X 39769,X 24827,X 490,X 2887,X 138106,X 1485,,X 22323,X 117812,X 110607,X 18893,X 28447,X 1768,,,,,,,
/RETURN/RETURNDATA/IRS990EZ/WEBSITEADDRESSTXT,,,,,,,,,,,,,,,,,,,,X 81556,X 226048,X 83983,X 458499,X 107419,X 138054,X 448197
/RETURN/RETURNDATA/IRS990/FAMILYORBUSINESSRELATIONSHIP,X 17,X 87,X 1865,X 3484,X 2984,X 25369,X 62199,X 87937,X 1286,X 14969,X 265265,X 6362,X 3,X 102497,X 154947,X 351579,X 25688,X 84300,X 3242,,,,,,,
/RETURN/RETURNDATA/IRS990/FAMILYORBUSINESSRLNIND,,,,,,,,,,,,,,,,,,,,X 209304,X 333316,X 317921,X 813798,X 414811,X 162142,X 878211
/RETURN/RETURNDATA/IRS990/FEDERALGRANTAUDITPERFORMED,X 17,X 15,X 645,X 1088,X 661,X 8128,X 28293,X 15324,X 150,X 3221,X 62904,X 810,,X 38091,X 14721,X 44823,X 3797,X 10688,X 429,,,,,,,
/RETURN/RETURNDATA/IRS990/FEDERALGRANTAUDITPERFORMEDIND,,,,,,,,,,,,,,,,,,,,X 22140,X 23204,X 52254,X 63796,X 66733,X 7032,X 65871
/RETURN/RETURNDATA/IRS990/FEDERALGRANTAUDITREQUIRED,X 17,X 87,X 1817,X 3197,X 2933,X 24107,X 58226,X 83373,X 808,X 12528,X 244116,X 4574,,X 96666,X 154947,X 326496,X 21836,X 62408,X 2998,,,,,,,
/RETURN/RETURNDATA/IRS990/FEDERALGRANTAUDITREQUIREDIND,,,,,,,,,,,,,,,,,,,,X 208052,X 279080,X 299555,X 727510,X 389510,X 162112,X 766338
/RETURN/RETURNDATA/IRS990/FEDERATEDCAMPAIGNS,X 2,X 1,X 941,X 332,X 179,X 1898,X 3395,X 8338,X 58,X 916,X 20005,X 309,,X 6791,X 15649,X 22528,X 775,X 4537,X 271,,,,,,,
/RETURN/RETURNDATA/IRS990/FEDERATEDCAMPAIGNSAMT,,,,,,,,,,,,,,,,,,,,X 20712,X 12728,X 26443,X 49646,X 34665,X 5456,X 57219
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESACCOUNTING/FUNDRAISING,,X 1,X 615,X 1324,X 134,X 1601,X 9607,X 5877,X 42,X 1410,X 30206,X 701,,X 5993,X 40098,X 16848,X 575,X 5034,X 238,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESACCOUNTINGGRP/FUNDRAISINGAMT,,,,,,,,,,,,,,,,,,,,X 14040,X 41476,X 32949,X 82296,X 42193,X 6906,X 99683
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESACCOUNTINGGRP/MANAGEMENTANDGENERALAMT,,,,,,,,,,,,,,,,,,,,X 118732,X 188876,X 194449,X 460159,X 253429,X 89034,X 499494
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESACCOUNTINGGRP/PROGRAMSERVICESAMT,,,,,,,,,,,,,,,,,,,,X 42608,X 99840,X 80373,X 211779,X 104052,X 34882,X 236182
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESACCOUNTINGGRP/TOTALAMT,,,,,,,,,,,,,,,,,,,,X 164144,X 285856,X 259110,X 672090,X 337617,X 160778,X 696973
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESACCOUNTING/MANAGEMENTANDGENERAL,X 12,X 44,X 1294,X 2257,X 1765,X 15738,X 35203,X 52319,X 760,X 9277,X 152531,X 3487,X 3,X 62329,X 93048,X 202718,X 13842,X 51623,X 1635,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESACCOUNTING/PROGRAMSERVICES,X 5,X 34,X 926,X 1670,X 662,X 5436,X 18915,X 19300,X 276,X 3782,X 71770,X 1464,X 3,X 21642,X 58177,X 73739,X 6282,X 20346,X 807,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESACCOUNTING/TOTAL,X 14,X 68,X 1554,X 2829,X 2429,X 20676,X 54007,X 68810,X 992,X 12790,X 216818,X 5958,X 3,X 85396,X 141439,X 275334,X 24987,X 68133,X 2445,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESINVSTMGMNTFEES/FUNDRAISING,,,X 537,X 320,X 15,X 389,X 1428,X 2479,X 4,X 565,X 6615,X 334,,X 1278,X 9330,X 2668,X 21,X 1348,X 26,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESINVSTMGMNTFEES/MANAGEMENTANDGENERAL,X 3,X 6,X 635,X 402,X 283,X 3336,X 4316,X 11219,X 56,X 2238,X 23554,X 1103,,X 12686,X 14923,X 37631,X 1097,X 8079,X 315,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESINVSTMGMNTFEES/PROGRAMSERVICES,X 1,X 1,X 575,X 350,X 76,X 850,X 2173,X 4074,X 14,X 807,X 10230,X 484,,X 3056,X 10845,X 8786,X 305,X 2604,X 110,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESINVSTMGMNTFEES/TOTAL,X 3,X 7,X 724,X 1066,X 977,X 9361,X 29983,X 20702,X 82,X 7017,X 80197,X 4988,,X 44081,X 106151,X 63168,X 23519,X 20083,X 1034,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLEGAL/FUNDRAISING,,X 1,X 598,X 671,X 71,X 1240,X 3830,X 4293,X 14,X 1137,X 13865,X 550,,X 3807,X 17422,X 8852,X 176,X 2759,X 166,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLEGALGRP/FUNDRAISINGAMT,,,,,,,,,,,,,,,,,,,,X 9084,X 13448,X 17351,X 34308,X 22305,X 2310,X 41435
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLEGALGRP/MANAGEMENTANDGENERALAMT,,,,,,,,,,,,,,,,,,,,X 54984,X 55012,X 91783,X 164664,X 118428,X 26138,X 182333
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLEGALGRP/PROGRAMSERVICESAMT,,,,,,,,,,,,,,,,,,,,X 29528,X 39460,X 50036,X 103271,X 63274,X 16201,X 114551
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLEGALGRP/TOTALAMT,,,,,,,,,,,,,,,,,,,,X 86212,X 177040,X 168393,X 393262,X 217675,X 160360,X 335731
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLEGAL/MANAGEMENTANDGENERAL,X 9,X 6,X 887,X 1021,X 857,X 9665,X 12609,X 27040,X 260,X 5384,X 58702,X 2142,,X 32389,X 34742,X 89226,X 3750,X 19789,X 945,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLEGAL/PROGRAMSERVICES,X 5,X 15,X 763,X 848,X 445,X 4528,X 8705,X 14054,X 114,X 3024,X 36690,X 1172,,X 16163,X 27379,X 45670,X 2528,X 10915,X 542,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLEGAL/TOTAL,X 11,X 18,X 1047,X 1645,X 1665,X 15350,X 37357,X 41617,X 348,X 9154,X 126410,X 5201,,X 62116,X 116377,X 140858,X 23863,X 33283,X 1678,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLOBBYING/FUNDRAISING,X 1,X 1,X 535,X 254,X 8,X 254,X 882,X 2144,,X 431,X 4801,X 220,,X 748,X 6800,X 1149,X 16,X 1007,X 22,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLOBBYINGGRP/FUNDRAISINGAMT,,,,,,,,,,,,,,,,,,,,X 4652,X 2032,X 5923,X 9882,X 7672,X 79,X 12824
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLOBBYINGGRP/MANAGEMENTANDGENERALAMT,,,,,,,,,,,,,,,,,,,,X 6540,X 3712,X 11095,X 15507,X 14563,X 502,X 19252
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLOBBYINGGRP/PROGRAMSERVICESAMT,,,,,,,,,,,,,,,,,,,,X 7340,X 4680,X 10080,X 18182,X 13256,X 1485,X 22365
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLOBBYINGGRP/TOTALAMT,,,,,,,,,,,,,,,,,,,,X 14292,X 132332,X 88305,X 218676,X 112760,X 160089,X 115190
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLOBBYING/MANAGEMENTANDGENERAL,,,X 547,X 267,X 56,X 889,X 1152,X 3664,X 2,X 949,X 6717,X 416,,X 3167,X 7330,X 5922,X 169,X 2218,X 140,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLOBBYING/PROGRAMSERVICES,,,X 555,X 260,X 50,X 672,X 1401,X 3431,X 6,X 788,X 7262,X 371,,X 2464,X 7864,X 5607,X 225,X 2053,X 58,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESLOBBYING/TOTAL,X 1,X 1,X 643,X 929,X 721,X 7330,X 28092,X 12656,X 16,X 6593,X 63843,X 4889,,X 36609,X 102925,X 29197,X 23461,X 15979,X 866,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESMANAGEMENT/FUNDRAISING,,X 1,X 580,X 406,X 32,X 578,X 2448,X 3029,X 24,X 710,X 9609,X 385,,X 1999,X 12828,X 5096,X 267,X 2031,X 73,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESMANAGEMENTGRP/FUNDRAISINGAMT,,,,,,,,,,,,,,,,,,,,X 6960,X 9848,X 11972,X 24969,X 14789,X 1455,X 30460
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESMANAGEMENTGRP/MANAGEMENTANDGENERALAMT,,,,,,,,,,,,,,,,,,,,X 25764,X 27648,X 38473,X 79019,X 50703,X 10162,X 91722
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESMANAGEMENTGRP/PROGRAMSERVICESAMT,,,,,,,,,,,,,,,,,,,,X 19096,X 23708,X 28430,X 63746,X 37626,X 7323,X 74739
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESMANAGEMENTGRP/TOTALAMT,,,,,,,,,,,,,,,,,,,,X 40464,X 152828,X 115953,X 287588,X 149915,X 160437,X 204063
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESMANAGEMENT/MANAGEMENTANDGENERAL,X 3,X 6,X 681,X 542,X 309,X 3203,X 5761,X 11159,X 58,X 2150,X 27077,X 930,,X 11644,X 19612,X 36541,X 2117,X 7967,X 228,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESMANAGEMENT/PROGRAMSERVICES,X 3,X 15,X 663,X 479,X 197,X 1967,X 4590,X 8034,X 44,X 1572,X 21468,X 780,,X 7387,X 16938,X 24800,X 2241,X 6395,X 220,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESMANAGEMENT/TOTAL,X 3,X 17,X 821,X 1201,X 990,X 9413,X 31615,X 21838,X 96,X 7335,X 86687,X 5044,,X 43826,X 109769,X 68962,X 23661,X 21983,X 1034,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESOTHER/FUNDRAISING,X 4,X 4,X 665,X 920,X 332,X 4303,X 7546,X 12708,X 108,X 2813,X 32339,X 1053,,X 16198,X 26058,X 43447,X 925,X 10114,X 451,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESOTHERGRP/FUNDRAISINGAMT,,,,,,,,,,,,,,,,,,,,X 27856,X 30668,X 54752,X 89370,X 72662,X 13067,X 104315
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESOTHERGRP/MANAGEMENTANDGENERALAMT,,,,,,,,,,,,,,,,,,,,X 67168,X 69244,X 124093,X 208244,X 164043,X 38963,X 234470
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESOTHERGRP/PROGRAMSERVICESAMT,,,,,,,,,,,,,,,,,,,,X 72804,X 82764,X 135270,X 237340,X 179198,X 39452,X 271564
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESOTHERGRP/TOTALAMT,,,,,,,,,,,,,,,,,,,,X 108384,X 195440,X 208983,X 461487,X 275704,X 160323,X 433651
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESOTHER/MANAGEMENTANDGENERAL,X 10,X 10,X 885,X 1156,X 1014,X 10878,X 14930,X 32172,X 286,X 6340,X 72873,X 2330,,X 41719,X 42659,X 112761,X 3919,X 25966,X 1117,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESOTHER/PROGRAMSERVICES,X 11,X 24,X 1024,X 1200,X 1102,X 11624,X 16521,X 35468,X 314,X 6974,X 82029,X 2451,,X 44943,X 44130,X 125628,X 6011,X 30674,X 1269,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESOTHER/TOTAL,X 12,X 25,X 1147,X 1802,X 1787,X 17326,X 39189,X 50933,X 440,X 10121,X 147395,X 5295,,X 73900,X 118299,X 181934,X 24039,X 43778,X 1996,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESPROFFUNDRAISING/FUNDRAISING,X 2,X 1,X 580,X 324,X 121,X 1568,X 2501,X 5433,X 18,X 1106,X 12027,X 436,,X 5192,X 10367,X 13971,X 577,X 3664,X 180,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESPROFFUNDRAISING/FUNDRAISINGAMT,,,,,,,,,,,,,,,,,,,,X 11444,X 10168,X 17044,X 32089,X 21842,X 3906,X 36326
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESPROFFUNDRAISING/TOTAL,X 2,X 1,X 625,X 894,X 139,X 7444,X 26917,X 8361,X 20,X 6592,X 49815,X 4899,,X 36388,X 103313,X 29701,X 649,X 16254,X 781,,,,,,,
/RETURN/RETURNDATA/IRS990/FEESFORSERVICESPROFFUNDRAISING/TOTALAMT,,,,,,,,,,,,,,,,,,,,X 12956,X 111916,X 80751,X 186885,X 102436,X 160089,X 73935
/RETURN/RETURNDATA/IRS990/FEESFORSRVCINVSTMGMNTFEESGRP/FUNDRAISINGAMT,,,,,,,,,,,,,,,,,,,,X 5452,X 4884,X 8140,X 15718,X 10550,X 362,X 20132
/RETURN/RETURNDATA/IRS990/FEESFORSRVCINVSTMGMNTFEESGRP/MANAGEMENTANDGENERALAMT,,,,,,,,,,,,,,,,,,,,X 26492,X 20564,X 40000,X 72727,X 53526,X 10083,X 85843
/RETURN/RETURNDATA/IRS990/FEESFORSRVCINVSTMGMNTFEESGRP/PROGRAMSERVICESAMT,,,,,,,,,,,,,,,,,,,,X 9448,X 8904,X 13169,X 27784,X 17035,X 2525,X 33890
/RETURN/RETURNDATA/IRS990/FEESFORSRVCINVSTMGMNTFEESGRP/TOTALAMT,,,,,,,,,,,,,,,,,,,,X 37288,X 142824,X 113373,X 271499,X 147668,X 160358,X 186077
/RETURN/RETURNDATA/IRS990/FILEDLIEU1041,X 4,X 87,X 182,X 594,X 100,X 3261,X 25832,X 546,,X 240,X 36742,X 19,,X 22217,X 94375,X 1725,X 28,X 163,X 410,,,,,,,
/RETURN/RETURNDATA/IRS990/FINALRETURNIND,,,,,,,,,,,,,,,,,,,,X 1324,X 1644,X 1368,X 4495,X 1776,X 714,X 5831
/RETURN/RETURNDATA/IRS990/FINANCIALSTATEMENTBOTH,X 3,X 7,X 123,X 115,X 117,X 1329,X 1921,X 3973,X 12,X 739,X 8139,X 340,,X 4968,,,,,,,,,,,,
/RETURN/RETURNDATA/IRS990/FINANCIALSTATEMENTCONSOLIDATED,X 2,X 9,X 388,X 640,X 516,X 7586,X 7749,X 20080,X 474,X 6678,X 42475,X 1774,,X 29149,,,,,,,,,,,,
/RETURN/RETURNDATA/IRS990/FINANCIALSTATEMENTSEPARATE,X 8,X 50,X 547,X 1532,X 1756,X 11443,X 23725,X 39169,X 94,X 3120,X 102388,X 2148,,X 41746,,,,,,,,,,,,
/RETURN/RETURNDATA/IRS990/FINANCIALSTMTATTACHED,,,,,,,X 516,X 948,,X 8,X 31,,,X 9,X 3,,,,,,,,,,,
/RETURN/RETURNDATA/IRS990/FINANCIALSTMTATTACHED/@REFERENCEDOCUMENTID,,,,,,,X 306,X 2000,X 8,X 1036,X 2221,X 401,,X 3847,X 765,X 6074,X 53,X 2104,X 106,,,,,,,
/RETURN/RETURNDATA/IRS990/FINANCIALSTMTATTACHED/@REFERENCEDOCUMENTNAME,,,,,,,X 28,,,,X 54,,,,X 45,,,,X 5,,,,,,,
/RETURN/RETURNDATA/IRS990/FINANCIALSTMTATTACHED/#TEXT,,,,,,,X 334,X 2000,X 8,X 1036,X 2275,X 401,,X 3847,X 810,X 6074,X 53,X 2104,X 111,,,,,,,
/RETURN/RETURNDATA/IRS990/FOLLOWSFAS117,X 8,X 60,X 1513,X 2781,X 2500,X 22736,X 44579,X 71824,X 1064,X 13371,X 196608,X 4742,,X 89442,X 114282,X 275319,X 16211,X 71894,X 2389,,,,,,,
/RETURN/RETURNDATA/IRS990/FOREIGNACTIVITIES,X 16,X 86,X 1683,X 3415,X 2871,X 23919,X 60263,X 83279,X 1262,X 13704,X 254620,X 5820,X 3,X 96366,X 149572,X 333129,X 25050,X 80159,X 3000,,,,,,,
/RETURN/RETURNDATA/IRS990/FOREIGNACTIVITIESIND,,,,,,,,,,,,,,,,,,,,X 197592,X 322096,X 301668,X 777284,X 394027,X 155401,X 835805
/RETURN/RETURNDATA/IRS990/FOREIGNACTIVITIESIND/@REFERENCEDOCUMENTID,,,,,,,,,,,,,,,,,,,,X 11712,X 11220,X 16253,X 36320,X 20699,X 6741,X 42045
/RETURN/RETURNDATA/IRS990/FOREIGNACTIVITIESIND/@REFERENCEDOCUMENTNAME,,,,,,,,,,,,,,,,,,,,,X 1212,X 257,X 2128,X 387,,X 2861
/RETURN/RETURNDATA/IRS990/FOREIGNACTIVITIESIND/#TEXT,,,,,,,,,,,,,,,,,,,,X 11712,X 11220,X 16253,X 36514,X 20784,X 6741,X 42406
/RETURN/RETURNDATA/IRS990/FOREIGNACTIVITIES/@REFERENCEDOCUMENTID,X 1,X 1,X 182,X 69,X 113,X 1450,X 1936,X 4658,X 24,X 1265,X 10645,X 542,,X 6131,X 5375,X 18450,X 638,X 4141,X 242,,,,,,,
/RETURN/RETURNDATA/IRS990/FOREIGNACTIVITIES/@REFERENCEDOCUMENTNAME,,,,,,,X 234,,,,X 573,,,,X 1019,,,,,,,,,,,
/RETURN/RETURNDATA/IRS990/FOREIGNACTIVITIES/#TEXT,X 1,X 1,X 182,X 69,X 113,X 1450,X 1936,X 4658,X 24,X 1265,X 10645,X 542,,X 6131,X 5375,X 18450,X 638,X 4141,X 242,,,,,,,
/RETURN/RETURNDATA/IRS990/FOREIGNADDRESS/ADDRESSLINE1,,,,,,,,,,,,,,,,,,,,X 384,X 392,X 414,,,,
/RETURN/RETURNDATA/IRS990/FOREIGNADDRESS/ADDRESSLINE1TXT,,,,,,,,,,,,,,,,,,,,,,,X 1255,X 457,X 98,X 1622
/RETURN/RETURNDATA/IRS990/FOREIGNADDRESS/ADDRESSLINE2,,,,,,,,,,,,,,,,,,,,X 56,,X 40,,,,
/RETURN/RETURNDATA/IRS990/FOREIGNADDRESS/ADDRESSLINE2TXT,,,,,,,,,,,,,,,,,,,,,,,X 81,X 24,,X 141
/RETURN/RETURNDATA/IRS990/FOREIGNADDRESS/CITY,,,,,,,,,,,,,,,,,,,,X 380,X 376,X 389,,,,
/RETURN/RETURNDATA/IRS990/FOREIGNADDRESS/CITYNM,,,,,,,,,,,,,,,,,,,,,,,X 1218,X 421,X 98,X 1564
/RETURN/RETURNDATA/IRS990/FOREIGNADDRESS/COUNTRY,,,,,,,,,,,,,,,,,,,,X 384,X 392,X 414,,,,
/RETURN/RETURNDATA/IRS990/FOREIGNADDRESS/COUNTRYCD,,,,,,,,,,,,,,,,,,,,,,,X 1255,X 457,X 98,X 1622
/RETURN/RETURNDATA/IRS990/FOREIGNADDRESS/FOREIGNPOSTALCD,,,,,,,,,,,,,,,,,,,,,,,X 798,X 313,X 84,X 1051
/RETURN/RETURNDATA/IRS990/FOREIGNADDRESS/POSTALCODE,,,,,,,,,,,,,,,,,,,,X 208,X 216,X 234,,,,
/RETURN/RETURNDATA/IRS990/FOREIGNADDRESS/PROVINCEORSTATE,,,,,,,,,,,,,,,,,,,,X 276,X 140,X 208,,,,
/RETURN/RETURNDATA/IRS990/FOREIGNADDRESS/PROVINCEORSTATENM,,,,,,,,,,,,,,,,,,,,,,,X 630,X 241,X 64,X 948
/RETURN/RETURNDATA/IRS990/FOREIGNCOUNTRYCD,,,,,,,,,,,,,,,,,,,,G 2428,G 1175,G 3806,G 3937,G 86,X 1661,G 3844
/RETURN/RETURNDATA/IRS990/FOREIGNFINANCIALACCOUNT,X 17,X 87,X 1865,X 3484,X 2984,X 25369,X 62199,X 87937,X 1286,X 14969,X 265265,X 6362,X 3,X 102497,X 154947,X 351579,X 25688,X 84300,X 3242,,,,,,,
/RETURN/RETURNDATA/IRS990/FOREIGNFINANCIALACCOUNTIND,,,,,,,,,,,,,,,,,,,,X 209304,X 333316,X 317921,X 813798,X 414811,X 162142,X 878211
/RETURN/RETURNDATA/IRS990/FOREIGNGRANTSGRP/PROGRAMSERVICESAMT,,,,,,,,,,,,,,,,,,,,X 11964,X 10956,X 13013,X 35455,X 16956,X 5108,X 42571
